Country,Code,Year,Primary energy consumption per capita (kWh/person)
India,IND,2005,3987.0566
India,IND,2006,4136.6675
India,IND,2007,4423.9287
India,IND,2008,4616.339
India,IND,2009,4892.3794
India,IND,2010,5033.775
India,IND,2011,5236.977
India,IND,2012,5447.3413
India,IND,2013,5555.5483
India,IND,2014,5857.2837
India,IND,2015,5988.8335
India,IND,2016,6184.2495
India,IND,2017,6346.3545
India,IND,2018,6633.665
India,IND,2019,6731.805
India,IND,2020,6317.096
India,IND,2021,6809.62
Indonesia,IDN,2000,5435.4355
Indonesia,IDN,2001,5740.4346
Indonesia,IDN,2002,5815.386
Indonesia,IDN,2003,6224.9414
Indonesia,IDN,2004,6087.6787
Indonesia,IDN,2005,6186.4365
Indonesia,IDN,2006,6211.292
Indonesia,IDN,2007,6579.23
Indonesia,IDN,2008,6569.101
Indonesia,IDN,2009,6662.824
Indonesia,IDN,2010,7121.819
Indonesia,IDN,2011,7429.8623
Indonesia,IDN,2012,7574.457
Indonesia,IDN,2013,7225.1826
Indonesia,IDN,2014,7235.558
Indonesia,IDN,2015,7266.8945
Indonesia,IDN,2016,7212.07
Indonesia,IDN,2017,7388.523
Indonesia,IDN,2018,8026.891
Indonesia,IDN,2019,8474.4795
Indonesia,IDN,2020,7771.042
Indonesia,IDN,2021,7871.8433
Malaysia,MYS,2000,26639.928
Malaysia,MYS,2001,26582.326
Malaysia,MYS,2002,27303.566
Malaysia,MYS,2003,28867.148
Malaysia,MYS,2004,30459.574
Malaysia,MYS,2005,32213.139
Malaysia,MYS,2006,31831.441
Malaysia,MYS,2007,33221.49
Malaysia,MYS,2008,33712.133
Malaysia,MYS,2009,32003.473
Malaysia,MYS,2010,32487.746
Malaysia,MYS,2011,32524.594
Malaysia,MYS,2012,35010.12
Malaysia,MYS,2013,36062.543
Malaysia,MYS,2014,35862.223
Malaysia,MYS,2015,35878.008
Malaysia,MYS,2016,37199.58
Malaysia,MYS,2017,37162.887
Malaysia,MYS,2018,37333.03
Malaysia,MYS,2019,37823.5
Malaysia,MYS,2020,35997.363
Malaysia,MYS,2021,37897.133
Qatar,QAT,2000,207755.62
Qatar,QAT,2001,189988.27
Qatar,QAT,2002,199143.97
Qatar,QAT,2003,217673.23
Qatar,QAT,2004,253062.6
Qatar,QAT,2005,262585.7
Qatar,QAT,2006,230796
Qatar,QAT,2007,207280.52
Qatar,QAT,2008,196001
Qatar,QAT,2009,178237.72
Qatar,QAT,2010,194843.92
Qatar,QAT,2011,216384.27
Qatar,QAT,2012,232316.58
Qatar,QAT,2013,236185.81
Qatar,QAT,2014,234538.38
Qatar,QAT,2015,245271.83
Qatar,QAT,2016,223248.58
Qatar,QAT,2017,206889.17
Qatar,QAT,2018,202570.3
Qatar,QAT,2019,208021.3
Qatar,QAT,2020,184074.56
Qatar,QAT,2021,199419.2
Singapore,SGP,2000,109289.08
Singapore,SGP,2001,121494.555
Singapore,SGP,2002,115456.87
Singapore,SGP,2003,107484.375
Singapore,SGP,2004,119262.51
Singapore,SGP,2005,123551.64
Singapore,SGP,2006,131721.67
Singapore,SGP,2007,136257.9
Singapore,SGP,2008,140055.12
Singapore,SGP,2009,145354.05
Singapore,SGP,2010,149763.22
Singapore,SGP,2011,151959.9
Singapore,SGP,2012,149476.58
Singapore,SGP,2013,148317.19
Singapore,SGP,2014,148692.52
Singapore,SGP,2015,155468.98
Singapore,SGP,2016,162248.22
Singapore,SGP,2017,164801.44
Singapore,SGP,2018,163526.77
Singapore,SGP,2019,158657.89
Singapore,SGP,2020,154256.3
Singapore,SGP,2021,153295.16
Sri Lanka,LKA,2000,2851.8083
Sri Lanka,LKA,2001,2750.116
Sri Lanka,LKA,2002,2799.956
Sri Lanka,LKA,2003,2852.4663
Sri Lanka,LKA,2004,2745.2893
Sri Lanka,LKA,2005,3140.5315
Sri Lanka,LKA,2006,3338.2832
Sri Lanka,LKA,2007,3358.7993
Sri Lanka,LKA,2008,3134.0298
Sri Lanka,LKA,2009,3147.0713
Sri Lanka,LKA,2010,3368.2034
Sri Lanka,LKA,2011,3623.197
Sri Lanka,LKA,2012,3708.9927
Sri Lanka,LKA,2013,3748.5815
Sri Lanka,LKA,2014,4007.7144
Sri Lanka,LKA,2015,4476.9307
Sri Lanka,LKA,2016,4878.142
Sri Lanka,LKA,2017,4726.284
Sri Lanka,LKA,2018,4876.866
Sri Lanka,LKA,2019,4973.5986
Sri Lanka,LKA,2020,4853.1104
Sri Lanka,LKA,2021,4884.5293
United Arab Emirates,ARE,2000,163580.66
United Arab Emirates,ARE,2001,156784.6
United Arab Emirates,ARE,2002,162836.45
United Arab Emirates,ARE,2003,165507.6
United Arab Emirates,ARE,2004,169047.55
United Arab Emirates,ARE,2005,164587.45
United Arab Emirates,ARE,2006,151316.52
United Arab Emirates,ARE,2007,139351.47
United Arab Emirates,ARE,2008,134274.22
United Arab Emirates,ARE,2009,115803.19
United Arab Emirates,ARE,2010,114656.625
United Arab Emirates,ARE,2011,119056.13
United Arab Emirates,ARE,2012,123958.766
United Arab Emirates,ARE,2013,129486.234
United Arab Emirates,ARE,2014,127985.82
United Arab Emirates,ARE,2015,137896.34
United Arab Emirates,ARE,2016,142115.27
United Arab Emirates,ARE,2017,135601.27
United Arab Emirates,ARE,2018,132789.17
United Arab Emirates,ARE,2019,134878.39
United Arab Emirates,ARE,2020,126073.66
United Arab Emirates,ARE,2021,139828.77
